clase,conjunto,nombre_origen,nombre_salida,ruta_origen,ruta_salida,ancho,alto
positivo,positivo_train,taxi_recorte_train_0001.jpg,positivo_train_00001.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0001.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00001.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0002.jpg,positivo_train_00002.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0002.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00002.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0003.jpg,positivo_train_00003.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0003.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00003.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0004.jpg,positivo_train_00004.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0004.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00004.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0005.jpg,positivo_train_00005.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0005.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00005.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0006.jpg,positivo_train_00006.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0006.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00006.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0007.jpg,positivo_train_00007.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0007.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00007.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0008.jpg,positivo_train_00008.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0008.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00008.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0009.jpg,positivo_train_00009.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0009.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00009.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0010.jpg,positivo_train_00010.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0010.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00010.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0011.jpg,positivo_train_00011.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0011.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00011.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0012.jpg,positivo_train_00012.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0012.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00012.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0013.jpg,positivo_train_00013.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0013.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00013.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0014.jpg,positivo_train_00014.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0014.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00014.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0015.jpg,positivo_train_00015.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0015.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00015.jpg,128,64
positivo,positivo_train,taxi_recorte_train_0016.jpg,positivo_train_00016.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0016.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/hog/train/positivos/positivo_train_00016.jpg,128,64
