nombre_original,nombre_recorte,conjunto,x,y,ancho,alto,ruta_original,ruta_recorte
taxi_amarillo_train_0001.jpg,taxi_recorte_train_0001.jpg,train,112,842,1882,778,dataset/positivos/train/taxi_amarillo_train_0001.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0001.jpg
taxi_amarillo_train_0002.jpg,taxi_recorte_train_0002.jpg,train,448,389,896,554,dataset/positivos/train/taxi_amarillo_train_0002.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0002.jpg
taxi_amarillo_train_0003.jpg,taxi_recorte_train_0003.jpg,train,0,837,2245,1109,dataset/positivos/train/taxi_amarillo_train_0003.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0003.jpg
taxi_amarillo_train_0004.jpg,taxi_recorte_train_0004.jpg,train,1258,1333,730,368,dataset/positivos/train/taxi_amarillo_train_0004.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0004.jpg
taxi_amarillo_train_0005.jpg,taxi_recorte_train_0005.jpg,train,197,666,1957,778,dataset/positivos/train/taxi_amarillo_train_0005.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0005.jpg
taxi_amarillo_train_0006.jpg,taxi_recorte_train_0006.jpg,train,533,1242,480,410,dataset/positivos/train/taxi_amarillo_train_0006.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0006.jpg
taxi_amarillo_train_0007.jpg,taxi_recorte_train_0007.jpg,train,138,1536,1429,640,dataset/positivos/train/taxi_amarillo_train_0007.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0007.jpg
taxi_amarillo_train_0008.jpg,taxi_recorte_train_0008.jpg,train,122,1328,1589,704,dataset/positivos/train/taxi_amarillo_train_0008.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0008.jpg
taxi_amarillo_train_0009.jpg,taxi_recorte_train_0009.jpg,train,906,1514,544,341,dataset/positivos/train/taxi_amarillo_train_0009.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0009.jpg
taxi_amarillo_train_0010.jpg,taxi_recorte_train_0010.jpg,train,698,1146,453,480,dataset/positivos/train/taxi_amarillo_train_0010.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0010.jpg
taxi_amarillo_train_0011.jpg,taxi_recorte_train_0011.jpg,train,117,1397,725,362,dataset/positivos/train/taxi_amarillo_train_0011.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0011.jpg
taxi_amarillo_train_0012.jpg,taxi_recorte_train_0012.jpg,train,858,1397,1114,490,dataset/positivos/train/taxi_amarillo_train_0012.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0012.jpg
taxi_amarillo_train_0013.jpg,taxi_recorte_train_0013.jpg,train,421,976,1216,480,dataset/positivos/train/taxi_amarillo_train_0013.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0013.jpg
taxi_amarillo_train_0014.jpg,taxi_recorte_train_0014.jpg,train,885,1157,890,586,dataset/positivos/train/taxi_amarillo_train_0014.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0014.jpg
taxi_amarillo_train_0015.jpg,taxi_recorte_train_0015.jpg,train,1141,1258,485,309,dataset/positivos/train/taxi_amarillo_train_0015.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0015.jpg
taxi_amarillo_train_0016.jpg,taxi_recorte_train_0016.jpg,train,208,1493,1338,704,dataset/positivos/train/taxi_amarillo_train_0016.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0016.jpg
taxi_amarillo_train_0017.jpg,taxi_recorte_train_0017.jpg,train,682,1258,837,522,dataset/positivos/train/taxi_amarillo_train_0017.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0017.jpg
taxi_amarillo_train_0018.jpg,taxi_recorte_train_0018.jpg,train,304,1610,1141,576,dataset/positivos/train/taxi_amarillo_train_0018.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0018.jpg
taxi_amarillo_train_0019.jpg,taxi_recorte_train_0019.jpg,train,645,1557,1536,800,dataset/positivos/train/taxi_amarillo_train_0019.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0019.jpg
taxi_amarillo_train_0020.jpg,taxi_recorte_train_0020.jpg,train,304,1664,938,496,dataset/positivos/train/taxi_amarillo_train_0020.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0020.jpg
taxi_amarillo_train_0021.jpg,taxi_recorte_train_0021.jpg,train,554,1402,453,256,dataset/positivos/train/taxi_amarillo_train_0021.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0021.jpg
taxi_amarillo_train_0022.jpg,taxi_recorte_train_0022.jpg,train,576,1306,848,426,dataset/positivos/train/taxi_amarillo_train_0022.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0022.jpg
taxi_amarillo_train_0023.jpg,taxi_recorte_train_0023.jpg,train,384,1482,1168,480,dataset/positivos/train/taxi_amarillo_train_0023.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0023.jpg
taxi_amarillo_train_0024.jpg,taxi_recorte_train_0024.jpg,train,501,917,1738,986,dataset/positivos/train/taxi_amarillo_train_0024.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0024.jpg
taxi_amarillo_train_0025.jpg,taxi_recorte_train_0025.jpg,train,96,1530,1280,544,dataset/positivos/train/taxi_amarillo_train_0025.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0025.jpg
taxi_amarillo_train_0026.jpg,taxi_recorte_train_0026.jpg,train,288,1317,1066,554,dataset/positivos/train/taxi_amarillo_train_0026.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0026.jpg
taxi_amarillo_train_0027.jpg,taxi_recorte_train_0027.jpg,train,688,501,736,549,dataset/positivos/train/taxi_amarillo_train_0027.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0027.jpg
taxi_amarillo_train_0028.jpg,taxi_recorte_train_0028.jpg,train,586,1040,1066,720,dataset/positivos/train/taxi_amarillo_train_0028.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0028.jpg
taxi_amarillo_train_0029.jpg,taxi_recorte_train_0029.jpg,train,682,1221,464,320,dataset/positivos/train/taxi_amarillo_train_0029.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0029.jpg
taxi_amarillo_train_0030.jpg,taxi_recorte_train_0030.jpg,train,549,992,981,682,dataset/positivos/train/taxi_amarillo_train_0030.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0030.jpg
taxi_amarillo_train_0031.jpg,taxi_recorte_train_0031.jpg,train,794,1237,1018,613,dataset/positivos/train/taxi_amarillo_train_0031.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0031.jpg
taxi_amarillo_train_0032.jpg,taxi_recorte_train_0032.jpg,train,832,1354,1146,522,dataset/positivos/train/taxi_amarillo_train_0032.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0032.jpg
taxi_amarillo_train_0033.jpg,taxi_recorte_train_0033.jpg,train,10,1568,1962,890,dataset/positivos/train/taxi_amarillo_train_0033.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0033.jpg
taxi_amarillo_train_0034.jpg,taxi_recorte_train_0034.jpg,train,741,1797,608,309,dataset/positivos/train/taxi_amarillo_train_0034.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0034.jpg
taxi_amarillo_train_0035.jpg,taxi_recorte_train_0035.jpg,train,0,725,2117,885,dataset/positivos/train/taxi_amarillo_train_0035.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0035.jpg
taxi_amarillo_train_0036.jpg,taxi_recorte_train_0036.jpg,train,208,1045,1002,501,dataset/positivos/train/taxi_amarillo_train_0036.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0036.jpg
taxi_amarillo_train_0037.jpg,taxi_recorte_train_0037.jpg,train,608,1424,677,442,dataset/positivos/train/taxi_amarillo_train_0037.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0037.jpg
taxi_amarillo_train_0038.jpg,taxi_recorte_train_0038.jpg,train,266,1029,1706,949,dataset/positivos/train/taxi_amarillo_train_0038.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0038.jpg
taxi_amarillo_train_0039.jpg,taxi_recorte_train_0039.jpg,train,304,1440,736,416,dataset/positivos/train/taxi_amarillo_train_0039.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0039.jpg
taxi_amarillo_train_0040.jpg,taxi_recorte_train_0040.jpg,train,181,1338,1546,778,dataset/positivos/train/taxi_amarillo_train_0040.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0040.jpg
taxi_amarillo_train_0041.jpg,taxi_recorte_train_0041.jpg,train,208,1082,533,517,dataset/positivos/train/taxi_amarillo_train_0041.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0041.jpg
taxi_amarillo_train_0042.jpg,taxi_recorte_train_0042.jpg,train,10,938,2080,1018,dataset/positivos/train/taxi_amarillo_train_0042.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0042.jpg
taxi_amarillo_train_0043.jpg,taxi_recorte_train_0043.jpg,train,1088,1552,549,346,dataset/positivos/train/taxi_amarillo_train_0043.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0043.jpg
taxi_amarillo_train_0044.jpg,taxi_recorte_train_0044.jpg,train,730,1514,458,272,dataset/positivos/train/taxi_amarillo_train_0044.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0044.jpg
taxi_amarillo_train_0045.jpg,taxi_recorte_train_0045.jpg,train,10,1130,1360,768,dataset/positivos/train/taxi_amarillo_train_0045.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0045.jpg
taxi_amarillo_train_0046.jpg,taxi_recorte_train_0046.jpg,train,506,1472,826,352,dataset/positivos/train/taxi_amarillo_train_0046.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0046.jpg
taxi_amarillo_train_0047.jpg,taxi_recorte_train_0047.jpg,train,266,1317,704,341,dataset/positivos/train/taxi_amarillo_train_0047.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0047.jpg
taxi_amarillo_train_0048.jpg,taxi_recorte_train_0048.jpg,train,1093,1013,426,512,dataset/positivos/train/taxi_amarillo_train_0048.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0048.jpg
taxi_amarillo_train_0049.jpg,taxi_recorte_train_0049.jpg,train,592,1365,282,133,dataset/positivos/train/taxi_amarillo_train_0049.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0049.jpg
taxi_amarillo_train_0050.jpg,taxi_recorte_train_0050.jpg,train,533,1493,1712,1477,dataset/positivos/train/taxi_amarillo_train_0050.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0050.jpg
taxi_amarillo_train_0051.jpg,taxi_recorte_train_0051.jpg,train,336,1354,1285,720,dataset/positivos/train/taxi_amarillo_train_0051.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0051.jpg
taxi_amarillo_train_0052.jpg,taxi_recorte_train_0052.jpg,train,480,1338,997,421,dataset/positivos/train/taxi_amarillo_train_0052.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0052.jpg
taxi_amarillo_train_0053.jpg,taxi_recorte_train_0053.jpg,train,490,1258,650,288,dataset/positivos/train/taxi_amarillo_train_0053.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0053.jpg
taxi_amarillo_train_0054.jpg,taxi_recorte_train_0054.jpg,train,314,1456,1514,656,dataset/positivos/train/taxi_amarillo_train_0054.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0054.jpg
taxi_amarillo_train_0055.jpg,taxi_recorte_train_0055.jpg,train,1205,1578,256,218,dataset/positivos/train/taxi_amarillo_train_0055.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0055.jpg
taxi_amarillo_train_0056.jpg,taxi_recorte_train_0056.jpg,train,789,1749,544,261,dataset/positivos/train/taxi_amarillo_train_0056.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0056.jpg
taxi_amarillo_train_0057.jpg,taxi_recorte_train_0057.jpg,train,10,1765,1392,560,dataset/positivos/train/taxi_amarillo_train_0057.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0057.jpg
taxi_amarillo_train_0058.jpg,taxi_recorte_train_0058.jpg,train,736,1093,864,389,dataset/positivos/train/taxi_amarillo_train_0058.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0058.jpg
taxi_amarillo_train_0059.jpg,taxi_recorte_train_0059.jpg,train,485,1221,1760,730,dataset/positivos/train/taxi_amarillo_train_0059.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0059.jpg
taxi_amarillo_train_0060.jpg,taxi_recorte_train_0060.jpg,train,112,1370,1776,682,dataset/positivos/train/taxi_amarillo_train_0060.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0060.jpg
taxi_amarillo_train_0061.jpg,taxi_recorte_train_0061.jpg,train,154,1514,842,373,dataset/positivos/train/taxi_amarillo_train_0061.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0061.jpg
taxi_amarillo_train_0062.jpg,taxi_recorte_train_0062.jpg,train,741,1552,784,288,dataset/positivos/train/taxi_amarillo_train_0062.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0062.jpg
taxi_amarillo_train_0063.jpg,taxi_recorte_train_0063.jpg,train,506,1109,789,570,dataset/positivos/train/taxi_amarillo_train_0063.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0063.jpg
taxi_amarillo_train_0064.jpg,taxi_recorte_train_0064.jpg,train,954,1200,1210,682,dataset/positivos/train/taxi_amarillo_train_0064.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0064.jpg
taxi_amarillo_train_0065.jpg,taxi_recorte_train_0065.jpg,train,1696,1541,501,325,dataset/positivos/train/taxi_amarillo_train_0065.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0065.jpg
taxi_amarillo_train_0066.jpg,taxi_recorte_train_0066.jpg,train,469,981,1776,1130,dataset/positivos/train/taxi_amarillo_train_0066.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0066.jpg
taxi_amarillo_train_0067.jpg,taxi_recorte_train_0067.jpg,train,5,1589,592,309,dataset/positivos/train/taxi_amarillo_train_0067.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0067.jpg
taxi_amarillo_train_0068.jpg,taxi_recorte_train_0068.jpg,train,826,1290,826,384,dataset/positivos/train/taxi_amarillo_train_0068.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0068.jpg
taxi_amarillo_train_0069.jpg,taxi_recorte_train_0069.jpg,train,1040,1552,570,250,dataset/positivos/train/taxi_amarillo_train_0069.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0069.jpg
taxi_amarillo_train_0070.jpg,taxi_recorte_train_0070.jpg,train,170,826,1957,1029,dataset/positivos/train/taxi_amarillo_train_0070.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0070.jpg
taxi_amarillo_train_0071.jpg,taxi_recorte_train_0071.jpg,train,613,885,869,410,dataset/positivos/train/taxi_amarillo_train_0071.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0071.jpg
taxi_amarillo_train_0072.jpg,taxi_recorte_train_0072.jpg,train,704,1952,656,373,dataset/positivos/train/taxi_amarillo_train_0072.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0072.jpg
taxi_amarillo_train_0073.jpg,taxi_recorte_train_0073.jpg,train,741,1504,789,480,dataset/positivos/train/taxi_amarillo_train_0073.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0073.jpg
taxi_amarillo_train_0074.jpg,taxi_recorte_train_0074.jpg,train,325,752,1920,746,dataset/positivos/train/taxi_amarillo_train_0074.jpg,dataset/positivos/recortes/train/taxi_recorte_train_0074.jpg
